"nobs","tailyrs","area"
NA,10,"all"
NA,15,"all"
8.16216216216216,20,"all"
2.7027027027027,29,"all"
NA,10,"hp_Celtic Sea"
9.65765765765766,15,"hp_Celtic Sea"
4.57657657657658,20,"hp_Celtic Sea"
3.27927927927928,23,"hp_Celtic Sea"
NA,10,"hp_Greater North Sea"
NA,15,"hp_Greater North Sea"
9.92792792792793,20,"hp_Greater North Sea"
3.72972972972973,29,"hp_Greater North Sea"
NA,10,"hp_Irish Sea"
16.0720720720721,15,"hp_Irish Sea"
6.64864864864865,20,"hp_Irish Sea"
4.36036036036036,24,"hp_Irish Sea"
NA,10,"hp_Western Scotland AU"
7.87387387387387,15,"hp_Western Scotland AU"
NA,10,"ospar_Channel"
NA,15,"ospar_Channel"
NA,18,"ospar_Channel"
NA,10,"ospar_Irish and Celtic"
8.9009009009009,15,"ospar_Irish and Celtic"
4.03603603603604,20,"ospar_Irish and Celtic"
2,27,"ospar_Irish and Celtic"
NA,10,"ospar_Northern North Sea"
NA,15,"ospar_Northern North Sea"
10.6666666666667,20,"ospar_Northern North Sea"
4.32432432432432,28,"ospar_Northern North Sea"
NA,10,"ospar_Southern North Sea"
18.4144144144144,15,"ospar_Southern North Sea"
7.87387387387387,20,"ospar_Southern North Sea"
4.52252252252252,25,"ospar_Southern North Sea"
NA,10,"ospar_Western Scotland AA"
